Who has eight pistols and terrorizes the seas?.Billy the Squid.,1
,
What has fifty legs but still can't walk?.Half a centipede.,1
,
How do fleas travel?.By itch-hiking.,1
,
Why did the elephants leave the circus?.They were tired of working for peanuts.,1
,
What do you get if you cross a skunk with a boomerang?.A nasty smell that you can't get rid of.,1
,
What country is ill?.Germany.,1
,
What do giraffes have that no other animal has?.Baby giraffes.,1
,
Why was the elephant standing on the marshmallow?.Because he didn't want to fall in the hot chocolate.,1
,
Which way do insane people take when they go through the forest?.The psycho path.,1
,
What do you call a tree from Tulsa?.An oakie.,1
,
Where do mentally unstable trees go?.The insane a-xylem.,1
,
How did the government know that the tree was a communist spy?.He was a redwood.  He was arrested for treeson.,1
,
"Did you hear about the incompetent lumberjack?.He just couldn't cut it, so he was forest fired.",1
,
What do you call the study of the purchase of tree parts?.Stem sell research.,1
,
Did you hear about the burned down tree?.It was ash.,1
,
Did you hear about the imaginary tree?.It was mapleleaf.,1
,
Have you seen the tree's new car?.It's a two cedar.,1
,
What did the tree say when it messed up?.It was an oakcident.,1
,
Why do people rely on Pine trees for flu shots?.Because they have so many needles.,1
,
What do you get when you cross a ghost and a the letter K?.A book.,1
,
Did you hear about the book about cowardice?.It had no spine.,1
,
"Have you read the book about very cold temperatures?.Not only does it have two covers, it has a jacket.",1
,
Where do books eat dinner?.At the table of contents.,1
,
Did you hear about the girl who skipped rope while she read?.She jumped to conclusions.,1
,
Do you know about the book about copyright infringement?.It had legal binding.,1
,
Why is the banana the most popular fruit?.Because of its appeal.,1
,
What should you do if windows crashes cost you a lot of money?.You should bill Gates.,1
,
Why did the lady and her attorney seek a scarlet frock as part of a settlement?.Because she wanted a red dress for her grievances.,1
,
What do you call a weapon used by a Canadian ninja?.Canuck-chucks.,1
,
Did you hear about the Swedish guy who found God after rehab?.He was a bjorn-again Christian.,1
,
Ever heard of the wooden car with wooden wheels and a wooden engine?.It wooden run.,1
,
Why is it so easy to make plans with a gymnast?.Because their schedules are so flexible.,1
,
What's purple and goes slam slam slam slam?.A four door grape.,1
,
Why does a farmer look out of his window in the morning?.Because he can't see through the wall.,1
,
Did you hear the one about the fruit on trial?.It was judged by a jury of his pears.,1
,
Did you ever hear about the rope joke?.Skip it.,1
,
"How did the townsfolk find out the pigeons were plotting a revolution?.They heard them in the town square saying, ""Coup, coup!""",1
,
What's a good place for water-skiing?.A sloped lake.,1
,
What do you do with a wombat?.You play wom with it.,1
,
Why did Thoreau build a house?.Because he wanted to be walled-in.,1
,
What can you do if you don't like the Prelude in C Sharp Minor?.Turn Rachmanin off.,1
,
Why are pirates so popular?.They just arrrr.,1
,
What is Count Dracula's favorite landmark?.The Vampire State Building.,1
,
What did the big chimney say to the little chimney?.You're too young to smoke.,1
,
What did the big firecracker say to the little firecracker?.My pop is bigger than your pop.,1
,
Why did the sheep jump into the lake?.He wanted to take a ba-a-a-th.,1
,
Why did the boy throw his clock out the window?.He wanted to see time fly.,1
,
Why did the man jump off the Empire State Building?.He wanted to make a hit on Broadway.,1
,
Why did the bald man draw rabbits on his head?.Because from a distance they looked like hares.,1
,
"What did the outlet say to the cord?.Socket to me, baby.",1
,
Why was the blood donation unsuccessful?.Because it was all in vein.,1
,
What did the big phone say to the little phone?.You're too young to get engaged.,1
,
What do you get when Steve Jobs hires and fires a lot of people in six months?.An Apple turnover.,1
,
What do you call a chef that makes cakes and cookies while intoxicated?.Drunken Hines.,1
,
"If everyone in America started driving pink cadillacs, what would you have?.A pink car nation.",1
,
Did I ever tell you the story about the broken pencil?.It had no point.,1
,
What do you call it when a book spies on people?.A peeping tome.,1
,
"What did the German watch repairer say to his watch that would only go <em>tick, tick, tick</em>?.""Ve have vays of making you tock!""",1
,
"Why didn't the dyslexics show up at the French Revolution?.They were at the drug store, storming the pastille.",1
,
Why did Bobby Fischer marry a woman from Prague?. He was looking for a Czech mate.,1
,
"What do you get when you cross a poisonous snake with a horse?.I dunno, but if it bites you, you can ride it to the hospital!",1
,
"Why are crocodiles brown and flat?.Because if they were yellow and round, they'd be lemons.",1
,
What do fish say when they hit a wall?.Damn!,1
,
Why don't blind people like to skydive?.It scares the heck out of the dogs.,1
,
